@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(-inf-0.34]\'',1.028611,1.4,Iris-setosa
-1.1392,'\'(-inf-0.34]\'',-0.12454,1.4,Iris-setosa
-1.380727,'\'(-inf-0.34]\'',0.33672,1.3,Iris-setosa
-1.50149,'\'(-inf-0.34]\'',0.10609,1.5,Iris-setosa
-1.018437,'\'(-inf-0.34]\'',1.259242,1.4,Iris-setosa
-0.535384,'\'(0.34-0.58]\'',1.951133,1.7,Iris-setosa
-1.50149,'\'(-inf-0.34]\'',0.797981,1.4,Iris-setosa
-1.018437,'\'(-inf-0.34]\'',0.797981,1.5,Iris-setosa
-1.743017,'\'(-inf-0.34]\'',-0.355171,1.4,Iris-setosa
-1.1392,'\'(-inf-0.34]\'',0.10609,1.5,Iris-setosa
-0.535384,'\'(-inf-0.34]\'',1.489872,1.5,Iris-setosa
-1.259964,'\'(-inf-0.34]\'',0.797981,1.6,Iris-setosa
-1.259964,'\'(-inf-0.34]\'',-0.12454,1.4,Iris-setosa
-1.86378,'\'(-inf-0.34]\'',-0.12454,1.1,Iris-setosa
-0.052331,'\'(-inf-0.34]\'',2.181763,1.2,Iris-setosa
